locus,num_diploids.BCF,num_diploids.FRHF,num_diploids.FRHS,num_diploids.MDF,num_diploids.SJRF,num_diploids.CHLF,num_diploids.BCS,num_diploids.MDS,num_diploids.SRW,num_diploids.ERF,num_diploids.RRF,num_diploids.IGHF,num_diploids.TRF,num_diploids.TRS,num_diploids.BCkF,num_diploids.CRHS,num_diploids.SmRF,num_alleles.BCF,num_alleles.FRHF,num_alleles.FRHS,num_alleles.MDF,num_alleles.SJRF,num_alleles.CHLF,num_alleles.BCS,num_alleles.MDS,num_alleles.SRW,num_alleles.ERF,num_alleles.RRF,num_alleles.IGHF,num_alleles.TRF,num_alleles.TRS,num_alleles.BCkF,num_alleles.CRHS,num_alleles.SmRF,exp_Hz.BCF,exp_Hz.FRHF,exp_Hz.FRHS,exp_Hz.MDF,exp_Hz.SJRF,exp_Hz.CHLF,exp_Hz.BCS,exp_Hz.MDS,exp_Hz.SRW,exp_Hz.ERF,exp_Hz.RRF,exp_Hz.IGHF,exp_Hz.TRF,exp_Hz.TRS,exp_Hz.BCkF,exp_Hz.CRHS,exp_Hz.SmRF,obs_Hz.BCF,obs_Hz.FRHF,obs_Hz.FRHS,obs_Hz.MDF,obs_Hz.SJRF,obs_Hz.CHLF,obs_Hz.BCS,obs_Hz.MDS,obs_Hz.SRW,obs_Hz.ERF,obs_Hz.RRF,obs_Hz.IGHF,obs_Hz.TRF,obs_Hz.TRS,obs_Hz.BCkF,obs_Hz.CRHS,obs_Hz.SmRF
Ots_100884-287,44,106,201,70,77,288,114,81,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.3254132231404959,0.19344072623709518,0.12530630429939849,0.31999999999999984,0.25409006577837756,0.16425540123456783,0.09183594952293017,0.26947111720774286,0.19594310243245516,0.4812695109261186,0.49787334593572774,0.44080240490230094,0.4417013682331945,0.3957939508506616,0.45392219387755106,0.42780000000000007,0.3856332703213612,0.36363636363636365,0.2169811320754717,0.13432835820895522,0.22857142857142856,0.2727272727272727,0.1597222222222222,0.09649122807017543,0.2962962962962963,0.1651376146788991,0.4838709677419355,0.43478260869565216,0.44086021505376344,0.4146341463414634,0.2826086956521739,0.375,0.42,0.34782608695652173
Ots_101119-381,43,106,201,69,77,287,114,80,109,93,92,92,41,46,56,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.48674959437533794,0.4971520113919544,0.49287146357763434,0.49485402226423025,0.49865069994940125,0.4735580133302577,0.48137888581101884,0.49968750000000006,0.4949078360407373,0.13001503063938036,0.18519612476370506,0.05287098298676751,0.11451516954193952,0.10278827977315697,0.017697704081632626,0.01980000000000004,0.06444444444444453,0.6046511627906976,0.4716981132075472,0.472636815920398,0.5507246376811594,0.5064935064935064,0.5121951219512195,0.543859649122807,0.425,0.47706422018348627,0.13978494623655913,0.16304347826086957,0.05434782608695652,0.12195121951219512,0.10869565217391304,0.017857142857142856,0.02,0.06666666666666667
Ots_101704-143,43,106,200,70,75,288,111,81,109,93,92,93,41,46,55,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.49323958896700915,0.49461552153791377,0.47468749999999993,0.4934693877551021,0.49564444444444455,0.4903549382716049,0.4634769905040176,0.48049077884468827,0.16665263866677882,0.31870736501329633,0.46875,0.488669210313331,0.46400951814396196,0.45368620037807184,0.48347107438016523,0.4998,0.38049382716049385,0.46511627906976744,0.5,0.375,0.5142857142857142,0.37333333333333335,0.4375,0.40540540540540543,0.38271604938271603,0.1651376146788991,0.3118279569892473,0.4673913043478261,0.5483870967741935,0.5365853658536586,0.391304347826087,0.5272727272727272,0.5,0.4222222222222222
Ots_102213-210,35,105,201,57,77,286,111,72,109,93,92,93,40,45,56,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.42000000000000004,0.3677551020408163,0.4207940397514913,0.2777777777777777,0.38455051442064425,0.3106508875739644,0.289627465303141,0.4012345679012346,0.2878545576971634,0.09209157127991663,0.18519612476370506,0.45138166261995605,0.39874999999999994,0.2777777777777777,0.4424426020408163,0.3942000000000001,0.3330864197530865,0.37142857142857144,0.3523809523809524,0.43283582089552236,0.22807017543859648,0.44155844155844154,0.3076923076923077,0.27927927927927926,0.25,0.3119266055045872,0.07526881720430108,0.18478260869565216,0.4731182795698925,0.45,0.24444444444444444,0.375,0.42,0.37777777777777777
Ots_102414-395,42,106,201,64,77,289,111,79,109,93,91,93,41,45,55,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4997165532879819,0.4454877180491278,0.48483948417118383,0.4725341796875,0.4628099173553719,0.48122627842099586,0.4941563184806428,0.4794904662714309,0.4392307044861544,0.38293444328824133,0.4492211085617679,0.46386865533587696,0.4952409280190362,0.47012345679012346,0.45768595041322313,0.4992,0.4940926275992439,0.4523809523809524,0.42452830188679247,0.4975124378109453,0.546875,0.44155844155844154,0.4117647058823529,0.38738738738738737,0.4177215189873418,0.41284403669724773,0.43010752688172044,0.3956043956043956,0.43010752688172044,0.6097560975609756,0.4,0.4909090909090909,0.48,0.5
Ots_102457-132,43,105,199,70,76,282,109,81,106,93,91,87,40,46,55,50,45,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,0.3691184424012981,0.29641723356009075,0.33877932375445075,0.3677551020408163,0.42719875346260394,0.39374276947839637,0.22502314619981478,0.2777777777777777,0.33441616233535076,0.49994218984853744,0.5591715976331361,0.6535209406790857,0.5959375,0.5408790170132325,0.5249586776859505,0.4918,0.5093827160493828,0.4418604651162791,0.3238095238095238,0.31155778894472363,0.3142857142857143,0.3815789473684211,0.3617021276595745,0.22018348623853212,0.2345679012345679,0.3113207547169811,0.3978494623655914,0.6373626373626373,0.6436781609195402,0.625,0.4782608695652174,0.45454545454545453,0.48,0.5333333333333333
Ots_102801-308,41,106,199,65,77,285,104,75,109,92,91,93,41,46,55,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.3810232004759071,0.375,0.3660513623393349,0.39349112426035515,0.39669421487603307,0.49111111111111116,0.46875,0.4145777777777778,0.4221866846225064,0.3340619092627599,0.3722376524574327,0.4667013527575442,0.4417013682331945,0.3957939508506616,0.23553719008264462,0.3648,0.35777777777777775,0.36585365853658536,0.3867924528301887,0.39195979899497485,0.35384615384615387,0.44155844155844154,0.5017543859649123,0.5576923076923077,0.4533333333333333,0.42201834862385323,0.33695652173913043,0.3626373626373626,0.5483870967741935,0.36585365853658536,0.5,0.2727272727272727,0.36,0.37777777777777777
Ots_102867-609,8,82,201,11,77,261,58,1,90,93,NA,93,NA,NA,56,50,46,2,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,2,2,2,0.4921875,0.4952409280190362,0.4999876240687111,0.5,0.46955641760836564,0.4964474978347353,0.49048751486325803,0.5,0.47530864197530853,0.22476586888657657,NA,0.08232165568273775,NA,NA,0.13265306122448983,0.11280000000000001,0.02150283553875254,0.375,0.4878048780487805,0.48756218905472637,0.8181818181818182,0.4675324675324675,0.5095785440613027,0.4482758620689655,1,0.4666666666666667,0.23655913978494625,NA,0.08602150537634409,NA,NA,0.10714285714285714,0.12,0.021739130434782608
Ots_103041-52,44,105,201,69,77,290,112,81,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4790805785123967,0.4970975056689343,0.4985025123140516,0.44917034236504927,0.49586776859504145,0.41295481569560044,0.4454320790816326,0.4871208657216888,0.3989563168083494,0.49907503757659843,0.41014886578449894,0.40750375765984503,0.4997025580011898,0.5,0.4770408163265307,0.47119999999999995,0.4914933837429112,0.3409090909090909,0.5428571428571428,0.4577114427860697,0.42028985507246375,0.4155844155844156,0.39655172413793105,0.45535714285714285,0.49382716049382713,0.3486238532110092,0.46236559139784944,0.44565217391304346,0.4838709677419355,0.4878048780487805,0.43478260869565216,0.5714285714285714,0.32,0.43478260869565216
Ots_104063-132,44,106,201,70,77,290,114,81,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.1270661157024795,0.13955144179423273,0.10346278557461441,0.08204081632653049,0.09849890369370895,0.08876932223543399,0.2835872576177285,0.15790275872580417,0.05353084757175308,0.08232165568273775,0.13132088846880907,0.4852006012255752,0.46400951814396196,0.49621928166351614,0.3922193877551021,0.4488,0.15879017013232533,0.09090909090909091,0.1509433962264151,0.10945273631840796,0.08571428571428572,0.1038961038961039,0.09310344827586207,0.2543859649122807,0.1728395061728395,0.05504587155963303,0.08602150537634409,0.14130434782608695,0.4838709677419355,0.5365853658536586,0.4782608695652174,0.42857142857142855,0.48,0.13043478260869565
