Chromosome chrom_length
NC_037097.1 96198142
NC_037098.1 57406636
NC_037099.1 81079776
NC_037100.1 74299616
NC_037101.1 93271540
NC_037102.1 77009353
NC_037103.1 86953105
NC_037104.1 73297397
NC_037105.1 90872356
NC_037106.1 60898746
NC_037107.1 48052637
NC_037108.1 77127610
NC_037109.1 75288599
NC_037110.1 55471129
NC_037111.1 39428130
NC_037112.1 70616635
NC_037113.1 22714575
NC_037114.1 40412799
NC_037115.1 55012541
NC_037116.1 47556325
NC_037117.1 37043404
NC_037118.1 41221645
NC_037119.1 22700843
NC_037120.1 26611365
NC_037121.1 39160273
NC_037122.1 45903566
NC_037123.1 18375126
NC_037124.1 40359125
NC_037125.1 34644177
NC_037126.1 42913752
NC_037127.1 36717787
NC_037128.1 13335349
NC_037129.1 37913358
NC_037130.1 17226513
NW_020128803.1 1014811
NW_020128804.1 17919479
NW_020128805.1 5764875
NW_020128806.1 1908022
NW_020128807.1 1185149
NW_020128808.1 1656596
NW_020128809.1 1324739
NW_020128810.1 4267293
NW_020128811.1 4187325
NW_020128812.1 3716579
NW_020128813.1 7171266
NW_020128814.1 7134645
NW_020128815.1 3449792
NW_020128816.1 1652529
NW_020128817.1 3899380
NW_020128818.1 2810351
NW_020128819.1 343973
NW_020128820.1 581683
NW_020128821.1 3810229
NW_020128822.1 296781
NW_020128823.1 1449893
NW_020128824.1 2298271
NW_020128825.1 2497050
NW_020128826.1 1993112
NW_020128827.1 3408967
NW_020128828.1 1320740
NW_020128829.1 1445605
NW_020128830.1 1840495
NW_020128831.1 833585
NW_020128832.1 1210853
NW_020128833.1 1011579
NW_020128834.1 7993431
NW_020128835.1 939523
NW_020128836.1 201296
NW_020128837.1 113094
NW_020128838.1 1764795
NW_020128839.1 2691775
NW_020128840.1 2157862
NW_020128841.1 1528811
NW_020128842.1 2464841
NW_020128843.1 809796
NW_020128844.1 831897
NW_020128845.1 255590
NW_020128846.1 176983
NW_020128847.1 1124030
NW_020128848.1 287814
NW_020128849.1 211094
NW_020128850.1 706267
NW_020128851.1 326679
NW_020128852.1 683807
NW_020128853.1 668231
NW_020128854.1 684453
NW_020128855.1 609691
NW_020128856.1 277302
NW_020128857.1 595869
NW_020128858.1 2679442
NW_020128859.1 207854
NW_020128860.1 495994
NW_020128861.1 588758
NW_020128862.1 1374372
NW_020128863.1 258181
NW_020128864.1 210384
NW_020128865.1 379870
NW_020128866.1 688404
NW_020128867.1 404519
NW_020128868.1 383687
NW_020128869.1 563547
NW_020128870.1 514457
NW_020128871.1 212450
NW_020128872.1 792458
NW_020128873.1 272891
NW_020128874.1 134853
NW_020128875.1 186500
NW_020128876.1 2153801
NW_020128877.1 463605
NW_020128878.1 460472
NW_020128879.1 460464
NW_020128880.1 177741
NW_020128881.1 416170
NW_020128882.1 706918
NW_020128883.1 116452
NW_020128884.1 651926
NW_020128885.1 883727
NW_020128886.1 824845
NW_020128887.1 419087
NW_020128888.1 208211
NW_020128889.1 206773
NW_020128890.1 857221
NW_020128891.1 413583
NW_020128892.1 413110
NW_020128893.1 411289
NW_020128894.1 407716
NW_020128895.1 292222
NW_020128896.1 290211
NW_020128897.1 430910
NW_020128898.1 409338
NW_020128899.1 98625
NW_020128900.1 162446
NW_020128901.1 456429
NW_020128902.1 376111
NW_020128903.1 458436
NW_020128904.1 369831
NW_020128905.1 372740
NW_020128906.1 777479
NW_020128907.1 369353
NW_020128908.1 393475
NW_020128909.1 450841
NW_020128910.1 347353
NW_020128911.1 373105
NW_020128912.1 711760
NW_020128913.1 91835
NW_020128914.1 158141
NW_020128915.1 580310
NW_020128916.1 335697
NW_020128917.1 335861
NW_020128918.1 330429
NW_020128919.1 329421
NW_020128920.1 359968
NW_020128921.1 1380086
NW_020128922.1 292435
NW_020128923.1 329756
NW_020128924.1 365695
NW_020128925.1 607804
NW_020128926.1 664566
NW_020128927.1 313162
NW_020128928.1 2526210
NW_020128929.1 95840
NW_020128930.1 333720
NW_020128931.1 66577
NW_020128932.1 378044
NW_020128933.1 465419
NW_020128934.1 401401
NW_020128935.1 134835
NW_020128936.1 314847
NW_020128937.1 91542
NW_020128938.1 429273
NW_020128939.1 597823
NW_020128940.1 297448
NW_020128941.1 322997
NW_020128942.1 310205
NW_020128943.1 293091
NW_020128944.1 375791
NW_020128945.1 288686
NW_020128946.1 2325342
NW_020128947.1 86063
NW_020128948.1 193812
NW_020128949.1 284593
NW_020128950.1 457894
NW_020128951.1 277829
NW_020128952.1 277694
NW_020128953.1 530356
NW_020128954.1 110051
NW_020128955.1 292607
NW_020128956.1 421393
NW_020128957.1 330927
NW_020128958.1 436415
NW_020128959.1 350502
NW_020128960.1 274892
NW_020128961.1 316963
NW_020128962.1 269928
NW_020128963.1 268987
NW_020128964.1 987583
NW_020128965.1 112537
NW_020128966.1 265620
NW_020128967.1 263979
NW_020128968.1 263468
NW_020128969.1 360900
NW_020128970.1 286200
NW_020128971.1 1228892
NW_020128972.1 960161
NW_020128973.1 312030
NW_020128974.1 422913
NW_020128975.1 359788
NW_020128976.1 256872
NW_020128977.1 256526
NW_020128978.1 300592
NW_020128979.1 625933
NW_020128980.1 307332
NW_020128981.1 253115
NW_020128982.1 102952
NW_020128983.1 252432
NW_020128984.1 251195
NW_020128985.1 310025
NW_020128986.1 346287
NW_020128987.1 360481
NW_020128988.1 260363
NW_020128989.1 275046
NW_020128990.1 246655
NW_020128991.1 246470
NW_020128992.1 506611
NW_020128993.1 246186
NW_020128994.1 450542
NW_020128995.1 243678
NW_020128996.1 242888
NW_020128997.1 132408
NW_020128998.1 287281
NW_020128999.1 242161
NW_020129000.1 355018
NW_020129001.1 435542
NW_020129002.1 272150
NW_020129003.1 254959
NW_020129004.1 441187
NW_020129005.1 342252
NW_020129006.1 240236
NW_020129007.1 249848
NW_020129008.1 285873
NW_020129009.1 239618
NW_020129010.1 237571
NW_020129011.1 454330
NW_020129012.1 237047
NW_020129013.1 860424
NW_020129014.1 87564
NW_020129015.1 237511
NW_020129016.1 239961
NW_020129017.1 400747
NW_020129018.1 243583
NW_020129019.1 513860
